

network,station id,start_date,end_date, lat,lon,elev,element,state,county,Subwatershed,site_name,site_info_link,cdbs_id,shef_id,gmt_offset,
scan,1232,2014-08-15,2100-01-01,  59.42,-161.16,    550,Soil Moisture Percent,AK,Bethel,Canyon Creek,Canyon Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1232,61K01S  ,CLAA2,9.0,
scan,2213,2014-09-11,2100-01-01,  65.40,-164.71,    326,Soil Moisture Percent,AK,Nome,Quartz Creek,Checkers Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2213,65Q01S  ,CECA2,9.0,
scan,2211,2014-08-05,2100-01-01,  63.64,-158.03,     83,Soil Moisture Percent,AK,Yukon-koyukuk,190903031103-Innoko River,Innoko Camp,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2211,58O04S  ,IOCA2,9.0,
scan,2208,2013-08-27,2100-01-01,  61.36,-165.12,     13,Soil Moisture Percent,AK,Kusilvak,Kuyungslik River,Kanaryagak Camp,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2208,65M01S  ,KGAA2,9.0,
scan,2212,2014-08-25,2100-01-01,  66.18,-151.74,    524,Soil Moisture Percent,AK,Yukon-koyukuk,Old Dummy Lake-Kanuti River,Kanuti Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2212,51SR05  ,KATA2,9.0,
scan,1233,2012-09-22,2100-01-01,  59.82,-156.99,    320,Soil Moisture Percent,AK,Dillingham,190303021706-Mulchatna River,Lower Mulchatna,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1233,56K01S  ,LMLA2,9.0,
scan,2062,2002-05-06,2100-01-01,  59.68,-151.37,    132,Soil Moisture Percent,AK,Kenai Cook Inlet,Fritz Creek,Moose Inc,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2062,SC2062  ,MOIA2,9.0,
scan,2209,2013-10-01,2100-01-01,  58.67,-156.57,    100,Soil Moisture Percent,AK,Bristol Bay,Town of King Salmon-Naknek River,Naknek River,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2209,52J02S  ,NKNA2,9.0,
scan,2063,2002-05-06,2100-01-01,  59.68,-151.38,    393,Soil Moisture Percent,AK,Kenai Peninsula,Swift Creek-Frontal Kachemak Bay,Schor Garden,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2063,SC2063  ,SCHA2,9.0,
scan,2221,2015-08-21,2100-01-01,  63.91,-160.75,    290,Soil Moisture Percent,AK,Nome,Outlet Unalakleet River,Unalakleet,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2221,60O06S  ,UKKA2,9.0,
